Synonym,ChecklistName
Aegithalos concinnus,Aegithalos concinnus
Aegle marmelos,Aegle marmelos
Aegypius monachus,Aegypius monachus
Aerodramus brevirostris,Aerodramus brevirostris
Collocalia brevirostris,Aerodramus brevirostris
Aeromachus jhora,Aeromachus jhora
Aeromachus pygmaeus,Aeromachus pygmaeus
Aeschynanthus acuminatus,Aeschynanthus acuminatus
Aeschynanthus chinensis,Aeschynanthus acuminatus
Aeschynomene americana,Aeschynomene americana
Aeschynomene indica,Aeschynomene indica
Aethopyga christinae,Aethopyga christinae
Aethopyga gouldiae,Aethopyga gouldiae
Aethriamanta brevipennis,Aethriamanta brevipennis
Aethriamanta brevipennis brevipennis,Aethriamanta brevipennis
Agapanthus africanus,Agapanthus africanus
Agathis dammara,Agathis dammara
Agave americana,Agave americana
Agave angustifolia,Agave angustifolia
Agave vivipara,Agave angustifolia
Ageratum conyzoides,Ageratum conyzoides
Ageratum houstonianum,Ageratum houstonianum
Aglaia odorata,Aglaia odorata
Aglaia odorata var. microphyllina,Aglaia odorata var. microphyllina
Aglaia odorata microphyllina,Aglaia odorata var. microphyllina
Aglaonema modestum,Aglaonema modestum
Agrimonia pilosa,Agrimonia pilosa
Agrimonia pilosa var. nepalensis,Agrimonia pilosa var. nepalensis
Agrimonia pilosa nepalensis,Agrimonia pilosa var. nepalensis
Agriocnemis femina oryzae,Agriocnemis femina oryzae
Agriocnemis femina,Agriocnemis femina oryzae
Agriocnemis lacteola,Agriocnemis lacteola
Agriocnemis pygmaea,Agriocnemis pygmaea
Agriomorpha fusca,Agriomorpha fusca
Agropsar philippensis,Agropsar philippensis
Sturnia philippensis,Agropsar philippensis
Sturnus philippensis,Agropsar philippensis
Agropsar sturninus,Agropsar sturninus
Sturnia sturnina,Agropsar sturninus
Sturnus sturninus,Agropsar sturninus
Ahaetulla prasina,Ahaetulla prasina
Coluber mycterizans,Ahaetulla prasina
Coluber nasutus,Ahaetulla prasina
Dryinus prasinus,Ahaetulla prasina
Aidia canthioides,Aidia canthioides
Randia canthioides,Aidia canthioides
Aidia cochinchinensis,Aidia cochinchinensis
Aidia henryi,Aidia cochinchinensis
Randia cochinchinensis,Aidia cochinchinensis
Randia henryi,Aidia cochinchinensis
Aidia pycnantha,Aidia pycnantha
Randia acuminatissima,Aidia pycnantha
Ailanthus fordii,Ailanthus fordii
Ainsliaea fragrans,Ainsliaea fragrans
Ainsliaea macroclinidioides,Ainsliaea macroclinidioides
Ainsliaea parvifolia,Ainsliaea macroclinidioides
Ainsliaea walkeri,Ainsliaea walkeri
Aix galericulata,Aix galericulata
Ajuga genevensis,Ajuga nipponensis
Ajuga nipponensis,Ajuga nipponensis
Ajuga reptans var. purpurea,Ajuga reptans var. purpurea
Ajuga reptans purpurea,Ajuga reptans var. purpurea
Akebia quinata,Akebia quinata
Akebia trifoliata var. australis,Akebia trifoliata var. australis
Akebia trifoliata australis,Akebia trifoliata var. australis
Alangium chinense,Alangium chinense
Alauda arvensis,Alauda arvensis
Alauda gulgula,Alauda gulgula
Alaudala cheleensis,Alaudala cheleensis
Calandrella cheleensis,Alaudala cheleensis
Albizia chinensis,Albizia chinensis
Albizia stipulata,Albizia chinensis
Albizia corniculata,Albizia corniculata
Albizia millettii,Albizia corniculata
Albizia julibrissin,Albizia julibrissin
Albizia lebbeck,Albizia lebbeck
Albizia procera,Albizia procera
Alcea rosea,Alcea rosea
Althaea rosea,Alcea rosea
Alcedo atthis,Alcedo atthis
Alcedo atthis bengalensis,Alcedo atthis
Alchornea trewioides,Alchornea trewioides
Alcippe hueti,Alcippe hueti
Aleurites moluccana,Aleurites moluccana
Aleurites moluccanus,Aleurites moluccana
Aleuritopteris farinosa,Aleuritopteris pseudofarinosa
Aleuritopteris pseudofarinosa,Aleuritopteris pseudofarinosa
Alisma plantago-aquatica,Alisma plantago-aquatica
Allamanda cathartica,Allamanda cathartica
Allamanda schottii,Allamanda schottii
Allemanda neriifolia,Allamanda schottii
Allantodia contermina,Allantodia contermina
Allantodia crinipes,Allantodia dilatata
Allantodia dilatata,Allantodia dilatata
Asplenium latifolium,Allantodia dilatata
Diplazium crinipes,Allantodia dilatata
Allantodia matthewii,Allantodia matthewii
Asplenium matthewii,Allantodia matthewii
Diplazium matthewi,Allantodia matthewii
Allantodia metteniana,Allantodia metteniana
Diplazium mettenianum,Allantodia metteniana
Allantodia virescens,Allantodia virescens
Diplazium virescens,Allantodia virescens
Alleizettella leucocarpa,Alleizettella leucocarpa
Randia leucocarpa,Alleizettella leucocarpa
Allium ascalonicum,Allium ascalonicum
Allium cepa,Allium cepa
Allium chinense,Allium chinense
Allium fistulosum,Allium fistulosum
Allium hookeri,Allium hookeri
Allium porrum,Allium porrum
Allium sativum,Allium sativum
Allium tuberosum,Allium tuberosum
Allocasuarina littoralis,Allocasuarina littoralis
Casuarina littoralis,Allocasuarina littoralis
Alloteropsis cimicina,Alloteropsis cimicina
Alloteropsis semialata,Alloteropsis semialata
Alloteropsis semialatus,Alloteropsis semialata
Alniphyllum fortunei,Alniphyllum fortunei
Alnus formosana,Alnus japonica
Alnus japonica,Alnus japonica
Alocasia cucullata,Alocasia cucullata
Alocasia macrorrhiza,Alocasia macrorrhizos
Alocasia macrorrhizos,Alocasia macrorrhizos
Alocasia odora,Alocasia macrorrhizos
Aloe vera,Aloe vera
Aloe vera var. chinensis,Aloe vera
Aloe vera chinensis,Aloe vera
Alopecurus aequalis,Alopecurus aequalis
Alopecurus japonicus,Alopecurus japonicus
Alpinia calcarata,Alpinia calcarata
Alpinia formosana,Alpinia formosana
Alpinia galanga,Alpinia galanga
Alpinia galangas,Alpinia galanga
Alpinia hainanensis,Alpinia hainanensis
Alpinia katsumada,Alpinia hainanensis
Alpinia katsumadai,Alpinia hainanensis
Alpinia japonica,Alpinia japonica
Alpinia oblongifolia,Alpinia oblongifolia
Alpinia officinarium,Alpinia officinarum
Alpinia officinarum,Alpinia officinarum
Alpinia jianganfeng,Alpinia sichuanensis
Alpinia sichuanensis,Alpinia sichuanensis
Alpinia stachyodes,Alpinia stachyodes
Alpinia zerumbet,Alpinia zerumbet
Alpinia zerumbet 'Variegata',Alpinia zerumbet 'Variegata'
Alsophila spinulosa,Alsophila spinulosa
Cyathea spinulosa,Alsophila spinulosa
Alstonia scholaris,Alstonia scholaris
Alstroemeria psittacina,Alstroemeria psittacina
Alternanthera bettzickiana,Alternanthera bettzickiana
Alternanthera dentata f. rubiginosa,Alternanthera dentata f. rubiginosa
Alternanthera dentata rubiginosa,Alternanthera dentata f. rubiginosa
Alternanthera brasiliana,Alternanthera dentata f. rubiginosa
Alternanthera paronychioides,Alternanthera paronychioides
Alternanthera philoxeroides,Alternanthera philoxeroides
Alternanthera pungens,Alternanthera pungens
Alternanthera nodiflora,Alternanthera sessilis
Alternanthera sessilis,Alternanthera sessilis
Altingia chinensis,Altingia chinensis
Altingia gracilipes,Altingia gracilipes
Altingia gracilipes var. gracilipes,Altingia gracilipes
Altingia gracilipes var. serrulata,Altingia gracilipes
Altingia gracilipes gracilipes,Altingia gracilipes
Altingia gracilipes serrulata,Altingia gracilipes
Alysicarpus bupleurifolius,Alysicarpus bupleurifolius
Alysicarpus vaginalis,Alysicarpus vaginalis
Alysicarpus vaginalis var. diversifolius,Alysicarpus vaginalis
Alysicarpus vaginalis diversifolius,Alysicarpus vaginalis
Alyxia sinensis,Alyxia sinensis
Amaranthus blitum,Amaranthus blitum
Amaranthus lividus,Amaranthus blitum
Amaranthus spinosus,Amaranthus spinosus
Amaranthus tricolor,Amaranthus tricolor
Amaranthus viridis,Amaranthus viridis
Amaurornis phoenicurus,Amaurornis phoenicurus
Ambassis gymnocephalus,Ambassis gymnocephalus
Ambassis vachellii,Ambassis vachellii
Amblygobius phalaena,Amblygobius phalaena
Gobius annulatus,Amblygobius phalaena
Gobius phalaena,Amblygobius phalaena
Abroma augusta,Ambroma augustum
Ambroma augustum,Ambroma augustum
Ambrosia artemisiifolia,Ambrosia artemisiifolia
Ambrosia maritima,Ambrosia artemisiifolia
Amentotaxus argotaenia,Amentotaxus argotaenia
Amischotolype hispida,Amischotolype hispida
Forrestia chinensis,Amischotolype hispida
Ammannia arenaria,Ammannia arenaria
Ammannia auriculata var. arenaria,Ammannia arenaria
Ammannia auriculata arenaria,Ammannia arenaria
Ammannia baccifera,Ammannia baccifera
Ammannia auriculata,Ammannia multiflora
Ammannia multiflora,Ammannia multiflora
Amolops albispinus,Amolops albispinus
Amolops hongkongensis,Amolops hongkongensis
Amorphophallus dunnii,Amorphophallus dunnii
Amorphophallus kiusianus,Amorphophallus kiusianus
Amorphophallus konjac,Amorphophallus kiusianus
Amorphophallus variabilis,Amorphophallus kiusianus
Ampelopsis cantoniensis,Ampelopsis cantoniensis
Nekemias cantoniensis,Ampelopsis cantoniensis
Ampelopsis heterophylla var. kulingensis,Ampelopsis heterophylla var. kulingensis
Ampelopsis heterophylla kulingensis,Ampelopsis heterophylla var. kulingensis
Ampelopteris prolifera,Ampelopteris prolifera
Amphiesma stolatum,Amphiesma stolatum
Natrix stolata,Amphiesma stolatum
Ampittia dioscorides,Ampittia dioscorides
Ampittia dioscorides etura,Ampittia dioscorides
Ampittia virgata,Ampittia virgata
Anabas testudineus,Anabas testudineus
Anaciaeschna jaspidea,Anaciaeschna jaspidea
Anaciaeschna martini,Anaciaeschna martini
Anagallis arvensis,Anagallis arvensis
Ananas comosus,Ananas comosus
Anas acuta,Anas acuta
Anas carolinensis,Anas carolinensis
Anas crecca,Anas crecca
Anas crecca crecca,Anas crecca
Anas luzonica,Anas luzonica
Anas platyrhynchos,Anas platyrhynchos
Anas platyrhynchos domesticus,Anas platyrhynchos
Anas poecilorhyncha,Anas poecilorhyncha
Anas zonorhyncha,Anas zonorhyncha
Anax aurantiacus,Anax aurantiacus
Anax guttatus,Anax guttatus
Anax indicus,Anax indicus
Anax julius,Anax julius
Anax nigrofasciatus nigrofasciatus,Anax nigrofasciatus nigrofasciatus
Anax nigrofasciatus,Anax nigrofasciatus nigrofasciatus
Ancema ctesia,Ancema ctesia
Andrographis paniculata,Andrographis paniculata
Andropogon chinensis,Andropogon chinensis
Anethum graveolens,Anethum graveolens
Angelica decursiva,Angelica decursiva
Angiopteris fokiensis,Angiopteris fokiensis
Anguilla angustidens,Anguilla japonica
Anguilla breviceps,Anguilla japonica
Anguilla japonica,Anguilla japonica
Anguilla manabei,Anguilla japonica
Anguilla fidjiensis,Anguilla marmorata
Anguilla hildebrandti,Anguilla marmorata
Anguilla labrosa,Anguilla marmorata
Anguilla marmorata,Anguilla marmorata
Ania hongkongensis,Ania hongkongensis
Tainia hongkongensis,Ania hongkongensis
Ania ruybarrettoi,Ania ruybarrettoi
Tainia ruybarrettoi,Ania ruybarrettoi
Anisomeles indica,Anisomeles indica
Anisopappus chinensis,Anisopappus chinensis
Anneslea fragrans,Anneslea fragrans
Anneslea fragrans var. hainanensis,Anneslea fragrans
Anneslea hainanensis,Anneslea fragrans
Anneslea fragrans hainanensis,Anneslea fragrans
Annona glabra,Annona glabra
Annona squamosa,Annona squamosa
Anodendron affine,Anodendron affine
Anoectochilus yungianus,Anoectochilus yungianus
Anotogaster cf. klossi,Anotogaster cf. klossi
Anotogaster klossi,Anotogaster cf. klossi
Anous minutus,Anous minutus
Anous stolidus,Anous stolidus
Anoüs stolidus,Anous stolidus
Anredera cordifolia,Anredera cordifolia
Anser albifrons,Anser albifrons
Anser anser,Anser anser
Anser erythropus,Anser erythropus
Anser fabalis,Anser fabalis
Anser serrirostris,Anser serrirostris
Anthurium andraeanum,Anthurium andraeanum
Anthurium crystallinum,Anthurium crystallinum
Anthurium scherzerianum,Anthurium scherzerianum
Anthus cervinus,Anthus cervinus
Anthus godlewskii,Anthus godlewskii
Anthus gustavi,Anthus gustavi
Anthus hodgsoni,Anthus hodgsoni
Anthus richardi,Anthus richardi
Anthus roseatus,Anthus roseatus
Anthus rubescens,Anthus rubescens
Anthus rubescens japonicus,Anthus rubescens
Anthus spinoletta,Anthus spinoletta
Anthus sylvanus,Anthus sylvanus
Antidesma bunius,Antidesma bunius
Antidesma fordii,Antidesma fordii
Antidesma ghaesembilla,Antidesma ghaesembilla
Antidesma japonicum,Antidesma japonicum
Antidesma montanum,Antidesma montanum
Antidesma pseudomicrophyllum,Antidesma pseudomicrophyllum
Antidesma microphyllum,Antidesma venosum
Antidesma venosum,Antidesma venosum
Antigonon leptopus,Antigonon leptopus
Antirhea chinensis,Antirhea chinensis
Antirrhinum majus,Antirrhinum majus
Aphananthe aspera,Aphananthe aspera
Aphananthe cuspidata,Aphananthe cuspidata
Gironniera cuspidata,Aphananthe cuspidata
Gironniera nitida,Aphananthe cuspidata
Aphyllorchis montana,Aphyllorchis montana
Aphyocypris lini,Aphyocypris lini
Aphyocypris pooni,Aphyocypris lini
Hemigrammocypris lini,Aphyocypris lini
Aphyocypris normalis,Aphyocypris normalis
Nicholsicypris normalis,Aphyocypris normalis
Yaoshanicus normalis,Aphyocypris normalis
Apium graveolens,Apium graveolens
Apluda mutica,Apluda mutica
Apocopis intermedius,Apocopis intermedius
Apocopis wrightii var. macranthus,Apocopis intermedius
Apocopis wrightii macranthus,Apocopis intermedius
Apocopis wrightii,Apocopis wrightii
Aponogeton lakhonensis,Aponogeton lakhonensis
Aponogeton monostachyon,Aponogeton lakhonensis
Aponogeton natans,Aponogeton lakhonensis
Aporosa dioica,Aporosa dioica
Aporosa octandra var. chinensis,Aporosa dioica
Aporosa octandra chinensis,Aporosa dioica
Aporosa octandra,Aporosa dioica
Aporosa octandra octandra,Aporosa dioica
Appendicula bifaria,Appendicula cornuta
Appendicula cornuta,Appendicula cornuta
Appias albina,Appias albina
Appias lyncida,Appias lyncida
Apus apus,Apus apus
Apus nipalensis,Apus nipalensis
Apus pacificus,Apus pacificus
Aquila fasciata,Aquila fasciata
Hieraaetus fasciatus,Aquila fasciata
Aquila heliaca,Aquila heliaca
Aquila nipalensis,Aquila nipalensis
Aquilaria sinensis,Aquilaria sinensis
Arachis duranensis,Arachis duranensis
Arachis pintoi,Arachis duranensis
Arachis hypogaea,Arachis hypogaea
Arachniodes chinensis,Arachniodes chinensis
Arachniodes exilis,Arachniodes exilis
Arachnoides exilis,Arachniodes exilis
Arachniodes nigrospinosa,Arachniodes nigrospinosa
Arachnoides nigrospinosa,Arachniodes nigrospinosa
Arachniodes rhomboidea,Arachniodes rhomboidea
Arachnoides rhomboidea,Arachniodes rhomboidea
Aralia chinensis,Aralia chinensis
Aralia armata,Aralia finlaysoniana
Aralia finlaysoniana,Aralia finlaysoniana
Araucaria bidwillii,Araucaria bidwillii
Araucaria columnaris,Araucaria columnaris
Araucaria cunninghamii,Araucaria cunninghamii
Araucaria heterophylla,Araucaria heterophylla
Archidendron clypearia,Archidendron clypearia
Pithecellobium clypearia,Archidendron clypearia
Archidendron lucidum,Archidendron lucidum
Pithecellobium lucidum,Archidendron lucidum
Archidendron utile,Archidendron utile
Pithecellobium utile,Archidendron utile
Archontophoenix alexandrae,Archontophoenix alexandrae
Ardea alba,Ardea alba
Casmerodius albus,Ardea alba
Egretta alba,Ardea alba
Ardea alba modesta,Ardea alba
Ardea alba modesta,Ardea alba
Ardea cinerea,Ardea cinerea
Ardea cinerea jouyi,Ardea cinerea
Ardea intermedia,Ardea intermedia
Egretta intermedia,Ardea intermedia
Mesophoyx intermedia,Ardea intermedia
Ardea purpurea,Ardea purpurea
Ardea purpurea manilensis,Ardea purpurea
Ardenna pacifica,Ardenna pacifica
Ardenna pacificus,Ardenna pacifica
Ardenna tenuirostris,Ardenna tenuirostris
Ardeola bacchus,Ardeola bacchus
Ardisia crenata,Ardisia crenata
Ardisia chinensis,Ardisia cymosa
Ardisia cymosa,Ardisia cymosa
Ardisia elliptica,Ardisia elliptica
Ardisia faberi,Ardisia faberi
Ardisia fordii,Ardisia fordii
Ardisia hanceana,Ardisia hanceana
Ardisia lindleyana,Ardisia lindleyana
Ardisia punctata,Ardisia lindleyana
Ardisia maclurei,Ardisia maclurei
Ardisia mamillata,Ardisia mamillata
Ardisia primulifolia,Ardisia primulifolia
Ardisia pusilla,Ardisia pusilla
Ardisia reptans,Ardisia pusilla
Ardisia quinquegona,Ardisia quinquegona
Ardisia sieboldii,Ardisia sieboldii
Ardisia dumetosa,Ardisia villosa
Ardisia villosa,Ardisia villosa
Arenaria interpres,Arenaria interpres
Arenga engleri,Arenga engleri
Arenga pinnata,Arenga pinnata
Argemone mexicana,Argemone mexicana
Argyranthemum frutescens,Argyranthemum frutescens
Chrysanthemum frutescens,Argyranthemum frutescens
Argyreia acuta,Argyreia acuta
Argyreia capitata,Argyreia capitiformis
Argyreia capitiformis,Argyreia capitiformis
Argyreia mollis,Argyreia mollis
Argyreia nervosa,Argyreia nervosa
Argyreus hyperbius,Argyreus hyperbius
Argynnis hyperbius,Argyreus hyperbius
Arhopala bazalus,Arhopala bazalus
Narathura bazalus turbata,Arhopala bazalus
Arhopala birmana,Arhopala birmana
Arhopala centaurus,Arhopala centaurus
Arhopala pseudocentaurus,Arhopala centaurus
Narathura pseudocentaurus pirithous,Arhopala centaurus
Arhopala paramuta,Arhopala paramuta
Arhopala rama,Arhopala rama
Ariadne ariadne,Ariadne ariadne
Ariadne ariadne alterna,Ariadne ariadne
Arisaema cordatum,Arisaema cordatum
Arisaema consanguineum,Arisaema erubescens
Arisaema erubescens,Arisaema erubescens
Arisaema heterophyllum,Arisaema heterophyllum
Arisaema penicillatum,Arisaema penicillatum
Aristida chinensis,Aristida chinensis
Aristida cumingiana,Aristida cumingiana
Aristolochia championii,Aristolochia championii
Aristolochia longifolia,Aristolochia championii
Aristolochia fordiana,Aristolochia fordiana
Aristolochia mollis,Aristolochia mollis
Aristolochia tagala,Aristolochia tagala
Aristolochia acuminata,Aristolochia tagala
Aristolochia thwaitesii,Aristolochia thwaitesii
Aristolochia westlandii,Aristolochia westlandii
Arivela viscosa,Arivela viscosa
Cleome viscosa,Arivela viscosa
Artabotrys hexapetalus,Artabotrys hexapetalus
Artabotrys hongkongensis,Artabotrys hongkongensis
Artamus fuscus,Artamus fuscus
Artemisia annua,Artemisia annua
Artemisia capillaris,Artemisia capillaris
Artemisia indica,Artemisia indica
Artemisia japonica,Artemisia japonica
Artemisia lactiflora,Artemisia lactiflora
Artemisia lavandulaefolia,Artemisia lavandulaefolia
Artemisia princeps,Artemisia princeps
Arthraxon hispidus,Arthraxon hispidus
Arthraxon hispidus var. cryptatherus,Arthraxon hispidus
Arthraxon hispidus cryptatherus,Arthraxon hispidus
Artipe eryx,Artipe eryx
Artocarpus altilis,Artocarpus communis
Artocarpus communis,Artocarpus communis
Artocarpus incisus,Artocarpus communis
Artocarpus heterophyllus,Artocarpus heterophyllus
Artocarpus macrocarpon,Artocarpus heterophyllus
Artocarpus hypargyreus,Artocarpus hypargyreus
Artocarpus lingnanensis,Artocarpus nitidus subsp. lingnanensis
Artocarpus nitidus subsp. lingnanensis,Artocarpus nitidus subsp. lingnanensis
Artocarpus nitidus lingnanensis,Artocarpus nitidus subsp. lingnanensis
Artocarpus styracifolius,Artocarpus styracifolius
Artocarpus tonkinensis,Artocarpus tonkinensis
Arundina chinensis,Arundina graminifolia
Arundina chinensis var. major,Arundina graminifolia
Arundina graminifolia,Arundina graminifolia
Arundina chinensis major,Arundina graminifolia
Acrocephalus aedon,Arundinax aedon
Arundinax aedon,Arundinax aedon
Iduna aedon,Arundinax aedon
Arundinella nepalensis,Arundinella nepalensis
Arundinella setosa,Arundinella setosa
Arundo donax,Arundo donax
Asarum hongkongense,Asarum hongkongense
Asarum leptophyllum,Asarum leptophyllum
Asclepias curassavica,Asclepias curassavica
Asiagomphus hainanensis,Asiagomphus hainanensis
Asio flammeus,Asio flammeus
Asparagus cochinchinensis,Asparagus cochinchinensis
Asparagus densiflorus 'Sprengeri',Asparagus densiflorus 'Sprengeri'
Asparagus sprengeri,Asparagus densiflorus 'Sprengeri'
Asparagus aethiopicus,Asparagus densiflorus 'Sprengeri'
Asparagus densiflorus,Asparagus densiflorus 'Sprengeri'
Asparagus plumosus,Asparagus setaceus
Asparagus setaceus,Asparagus setaceus
Aspidistra fimbriata,Aspidistra fimbriata
Aspidistra lurida,Aspidistra lurida
Aspidistra minutiflora,Aspidistra minutiflora
Aspidistra punctata,Aspidistra punctata
Asplenium adnatum,Asplenium adnatum
Asplenium austro-chinense,Asplenium austrochinense
Asplenium austrochinense,Asplenium austrochinense
Asplenium wilfordii,Asplenium austrochinense
Asplenium cheilosorum,Asplenium cheilosorum
Asplenium crinicaule,Asplenium crinicaule
Asplenium ensiforme,Asplenium ensiforme
Asplenium holosorum,Asplenium ensiforme
Asplenium falcatum,Asplenium falcatum
Asplenium griffithianum,Asplenium griffithianum
